source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orchid,other_person,other_person_orchid,ship_date
EMO BON Bergen Wa 220426 3uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 3uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 0.2uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 0.2uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 3uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 3uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 0.2uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 0.2uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 3uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220426 0.2uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-04-26,Bergen Wa 220426,David Rees,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,167.0,2022-04-26,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 3uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 3uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 0.2uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 0.2uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 3uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 3uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 0.2uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 0.2uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 3uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220630 0.2uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen Wa 220630,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,102.0,2022-06-30,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 3uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 3uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 0.2uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 0.2uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 3uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 3uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 0.2uM (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 0.2uM (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 3uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 220831 0.2uM (blank),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen Wa 220831,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,40.0,2022-08-31,,-80,David Rees,,,,221010.0
EMO BON Bergen Wa 221025 3uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen Wa 221025,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,,2022-10-25,,-80,David Rees,,,,
EMO BON Bergen Wa 221025 3uM (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen Wa 221025,David Rees,,,2,10,fi,3-200,200,3,Y,Niskin,WaSOP1,,,2022-10-25,,-80,David Rees,,,,
EMO BON Bergen Wa 221025 0.2uM (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen Wa 221025,David Rees,,,2,10,fi,0.2-3,3,"0,2",Y,Niskin,WaSOP1,,,2022-10-25,,-80,David Rees,,,,
